output,feature_set,model,n_train,n_test,r2,rmse,mae,rmse_mean_base,rmse_pers_base,skill_vs_mean,skill_vs_pers,error_type
Stage2.M10,ctrl+lag,rf,8981,3870,0.0386,0.0588,0.046,0.1062,0.0703,0.4466,0.1635,variability
Stage2.M10,ctrl+lag,hgb,8981,3870,-0.1571,0.0645,0.0507,0.1062,0.0703,0.3929,0.0823,variability
Stage2.M11,controlled,ridge,9371,4037,-19.7664,0.2269,0.2083,0.1657,0.0579,-0.369,-2.9185,variability
Stage2.M11,controlled,rf,9371,4037,-5.1041,0.123,0.1046,0.1657,0.0579,0.2578,-1.1245,variability
Stage2.M11,controlled,hgb,9371,4037,-3.9576,0.1108,0.0873,0.1657,0.0579,0.3311,-0.9146,variability
Stage2.M11,ctrl+measured,ridge,9371,4037,-3.7544,0.1085,0.0886,0.1657,0.0579,0.345,-0.8749,variability
Stage2.M11,ctrl+measured,rf,9371,4037,-0.6009,0.063,0.0506,0.1657,0.0579,0.6199,-0.088,variability
Stage2.M11,ctrl+measured,hgb,9371,4037,-0.4769,0.0605,0.0485,0.1657,0.0579,0.6349,-0.045,variability
Stage2.M11,ctrl+lag,ridge,8986,3871,-0.973,0.0696,0.0578,0.1711,0.0578,0.593,-0.2048,variability
Stage2.M11,ctrl+lag,rf,8986,3871,-0.3959,0.0586,0.0475,0.1711,0.0578,0.6577,-0.0134,variability
Stage2.M11,ctrl+lag,hgb,8986,3871,-0.2462,0.0553,0.0446,0.1711,0.0578,0.6765,0.0425,variability
Stage2.M12,controlled,ridge,9625,4145,-28.4907,0.3044,0.2562,0.0755,0.0592,-3.0319,-4.1381,variability
Stage2.M12,controlled,rf,9625,4145,-1.0352,0.08,0.0613,0.0755,0.0592,-0.0592,-0.3498,variability
Stage2.M12,controlled,hgb,9625,4145,-0.626,0.0715,0.0521,0.0755,0.0592,0.0533,-0.2065,variability
Stage2.M12,ctrl+measured,ridge,9625,4145,-17.4659,0.2408,0.2105,0.0755,0.0592,-2.1905,-3.0658,variability
Stage2.M12,ctrl+measured,rf,9625,4145,-0.6856,0.0728,0.0549,0.0755,0.0592,0.0361,-0.2284,variability
Stage2.M12,ctrl+measured,hgb,9625,4145,-0.7342,0.0738,0.0552,0.0755,0.0592,0.0223,-0.246,variability
Stage2.M12,ctrl+lag,ridge,9198,3963,-3.5318,0.1008,0.0889,0.0545,0.043,-0.8508,-1.344,variability
Stage2.M12,ctrl+lag,rf,9198,3963,0.2007,0.0424,0.033,0.0545,0.043,0.2227,0.0156,variability
Stage2.M12,ctrl+lag,hgb,9198,3963,-0.8244,0.064,0.0513,0.0545,0.043,-0.1743,-0.4873,variability
